Alimentador,LLL,LLT,LL,LT,Enlace a maps
COV01,6668,6541,5775,6394,"https://maps.google.com/?q=-25.4773477745,-56.4521796533"
COV01,,,,5733,"https://maps.google.com/?q=-25.4766314205,-56.4541622238"
COV01,7561,7854,6548,7856,"https://maps.google.com/?q=-25.4772133536,-56.4493602212"
COV01,6982,7003,6046,6909,"https://maps.google.com/?q=-25.4780871639,-56.4475613248"
COV01,6945,6952,6014,6853,"https://maps.google.com/?q=-25.4779785408,-56.4475032841"
COV01,7447,7680,6449,7657,"https://maps.google.com/?q=-25.4768530218,-56.4493185079"
COV02,9084,12880,7867,12566,"https://maps.google.com/?q=-25.4730627211,-56.4477051106"
COV02,8694,10171,7529,10492,"https://maps.google.com/?q=-25.4717118949,-56.4488978687"
COV02,8688,10145,7524,10467,"https://maps.google.com/?q=-25.4716759528,-56.4488970181"
COV02,8646,9961,7487,10282,"https://maps.google.com/?q=-25.4711434585,-56.4488750753"
COV02,8585,9721,7435,10032,"https://maps.google.com/?q=-25.4707659819,-56.4488870115"
COV02,8548,9580,7402,9880,"https://maps.google.com/?q=-25.4705318285,-56.4489380617"
COV02,8523,9492,7381,9783,"https://maps.google.com/?q=-25.4703820266,-56.4489869003"
COV02,8197,8526,7099,8616,"https://maps.google.com/?q=-25.4684021188,-56.4490123356"
COV02,8153,8459,7061,8531,"https://maps.google.com/?q=-25.4683176151,-56.4491411157"
COV02,8188,8512,7091,8597,"https://maps.google.com/?q=-25.46837427,-56.4489883911"
COV02,8066,8224,6986,8215,"https://maps.google.com/?q=-25.4677189013,-56.4484176715"
COV02,8007,8094,6935,8039,"https://maps.google.com/?q=-25.4673953006,-56.4481373109"
COV02,7991,8069,6920,8007,"https://maps.google.com/?q=-25.4673924715,-56.4480610494"
COV02,7676,7457,6647,7140,"https://maps.google.com/?q=-25.4660569528,-56.4462662194"
COV02,7646,7407,6622,7068,"https://maps.google.com/?q=-25.4661210779,-56.4460325545"
COV02,7530,7217,6521,6788,"https://maps.google.com/?q=-25.4663801317,-56.445088575"
COV02,7224,6837,6256,6122,"https://maps.google.com/?q=-25.4670540173,-56.4424860904"
COV02,7201,6817,6236,6095,"https://maps.google.com/?q=-25.4669749985,-56.4424516629"
COV02,7068,6658,6121,5815,"https://maps.google.com/?q=-25.4674294475,-56.4410937826"
COV02,6977,6581,6042,5716,"https://maps.google.com/?q=-25.4671212212,-56.440912942"
COV02,6826,6452,5911,5555,"https://maps.google.com/?q=-25.4665593661,-56.4407699211"
COV02,6603,6263,5719,5330,"https://maps.google.com/?q=-25.4659476568,-56.4408708591"
COV02,7026,6611,6085,5736,"https://maps.google.com/?q=-25.4675326215,-56.4407075088"
COV02,6292,5848,5449,4535,"https://maps.google.com/?q=-25.4694664216,-56.4332357439"
COV02,6140,5716,5317,4396,"https://maps.google.com/?q=-25.4701688963,-56.4339016326"
COV02,6223,5780,5389,4438,"https://maps.google.com/?q=-25.4687968822,-56.4329052053"
COV02,6183,5749,5354,4407,"https://maps.google.com/?q=-25.4689500062,-56.4327966664"
COV02,5888,5516,5099,4185,"https://maps.google.com/?q=-25.4681327101,-56.4344071942"
COV02,5422,5136,4696,3853,"https://maps.google.com/?q=-25.467142476,-56.4365660949"
COV02,5183,4936,4488,3688,"https://maps.google.com/?q=-25.4666030235,-56.4377421666"
COV02,4998,4779,4328,3562,"https://maps.google.com/?q=-25.4661664597,-56.4386938938"
COV02,4771,4586,4132,3410,"https://maps.google.com/?q=-25.4663455464,-56.43964618"
COV02,4972,4757,4306,3544,"https://maps.google.com/?q=-25.4661032659,-56.4388316573"
COV02,5830,5469,5049,4143,"https://maps.google.com/?q=-25.4683693089,-56.4345447948"
COV02,6198,5756,5368,4403,"https://maps.google.com/?q=-25.4685497004,-56.4327791459"
COV02,6118,5678,5299,4294,"https://maps.google.com/?q=-25.4677579135,-56.4323626229"
COV02,6111,5670,5292,4284,"https://maps.google.com/?q=-25.4676809526,-56.4323221376"
COV02,5671,5323,4911,3968,"https://maps.google.com/?q=-25.4685330199,-56.4307966932"
COV02,6036,5598,5228,4186,"https://maps.google.com/?q=-25.4669249264,-56.4319244531"
COV02,5729,5357,4961,3968,"https://maps.google.com/?q=-25.4662882108,-56.4333677111"
COV02,6007,5570,5202,4147,"https://maps.google.com/?q=-25.4666217077,-56.4317649497"
COV02,5986,5550,5184,4120,"https://maps.google.com/?q=-25.4664028346,-56.4316498155"
COV02,5937,5511,5141,4085,"https://maps.google.com/?q=-25.4664881081,-56.431408477"
COV02,5956,5520,5158,4081,"https://maps.google.com/?q=-25.4660830006,-56.4314815735"
COV02,5894,5461,5104,4003,"https://maps.google.com/?q=-25.4654293379,-56.4311302094"
COV02,5828,5398,5047,3921,"https://maps.google.com/?q=-25.4647218945,-56.4307255303"
COV02,5801,5372,5023,3888,"https://maps.google.com/?q=-25.4644255276,-56.4305626628"
COV02,5739,5313,4970,3813,"https://maps.google.com/?q=-25.4637317473,-56.430207883"
COV02,5714,5289,4948,3783,"https://maps.google.com/?q=-25.4634442327,-56.4300608569"
COV02,5298,4962,4589,3523,"https://maps.google.com/?q=-25.4640269444,-56.4277818175"
COV02,,,,3418,"https://maps.google.com/?q=-25.4642900072,-56.4268016637"
COV02,,,,3122,"https://maps.google.com/?q=-25.4650616692,-56.4237816632"
COV02,,,,3265,"https://maps.google.com/?q=-25.4629800005,-56.4261850054"
COV02,,,,3215,"https://maps.google.com/?q=-25.4631004248,-56.4256601151"
COV02,,,,3013,"https://maps.google.com/?q=-25.4636131207,-56.4234253362"
COV02,,,,3040,"https://maps.google.com/?q=-25.4611900048,-56.4250833314"
COV02,5625,5204,4871,3679,"https://maps.google.com/?q=-25.4624120635,-56.4295329077"
COV02,5603,5184,4852,3654,"https://maps.google.com/?q=-25.4621589574,-56.4293875405"
COV02,,,,3506,"https://maps.google.com/?q=-25.4625302195,-56.4280411607"
COV02,5509,5095,4771,3549,"https://maps.google.com/?q=-25.4610562861,-56.4287613344"
COV02,5454,5043,4723,3488,"https://maps.google.com/?q=-25.4603790549,-56.4284099115"
COV02,5440,5030,4711,3472,"https://maps.google.com/?q=-25.4602019217,-56.4283097803"
COV02,5370,4965,4651,3397,"https://maps.google.com/?q=-25.4593332002,-56.4278338201"
COV02,5300,4899,4590,3322,"https://maps.google.com/?q=-25.4589157742,-56.4288404375"
